Title,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price,Discounted_price,Brand,screen_inches,screen_res,screen_touch,CPU,disk_hdd,disk_ssd,disk_flash,disk_emmc,GPU,OS,is_discounted,Price_int,Shop
"Lenovo Miix 320 10,1"" Intel® Atom™ Z8350 2GB 64GB Dysk - Win10","10,1 cala, ekran dotykowy 1280 x 800 pikseli","Intel® Atom® Z8350 1,44 - 1,92 GHz",2,64 GB eMMC,Intel® HD Graphics,Windows 10 Home Edition,299 z?,0,lenovo,10.1,1280x800,1,other,0,0,0,64,integrated,windows,0,299,eurortvagd
"ASUS X540UB-DM1220T 15,6"" Intel® Core™ i5-7200U - 8GB RAM - 256B Dysk - MX110 Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 7gen 7200U 2,5 - 3,1 GHz",8,256 GB SSD,nVidia® GeForce MX110 + Intel HD Graphics 620,Windows 10 Home Edition,2 399 z?,0,asus,15.6,1920x1080,0,i5,0,256,0,0,geforce mx,windows,0,2399,eurortvagd
"HP Pavilion Gaming 15-ec0046nw 15,6"" AMD Ryzen 5 3550H - 8GB RAM - 512GB Dysk - GTX1650 Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 5 3550H 2,1 - 3,7 GHz",8,512 GB SSD,nVidia® GeForce GTX 1650 + AMD Radeon Vega 8,Windows 10 Home Edition,3 399 z?,0,hp,15.6,1920x1080,0,ryzen 5,0,512,0,0,geforce gtx,windows,0,3399,eurortvagd
"Lenovo IdeaPad S145-15AST 15,6"" AMD A6-9225 - 4GB RAM - 256GB Dysk","15,6 cala,  1920 x 1080 pikseli","AMD A-Series 9225 2,6 - 3,0 GHz",4,256 GB SSD,AMD Radeon R4,,1 299 z?,0,lenovo,15.6,1920x1080,0,other,0,256,0,0,radeon r,none,0,1299,eurortvagd
"Dell Inspiron G3 15 3590-7359 15,6"" Intel® Core™ i5-9300H - 8GB RAM - 512GB Dysk - GTX1650 Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300H 2,4 - 4,1 GHz",8,512 GB SSD,nVidia® GeForce GTX 1650 + Intel UHD Graphics 630,Windows 10 Home Edition,3 499 z?,0,dell,15.6,1920x1080,0,i5,0,512,0,0,geforce gtx,windows,0,3499,eurortvagd
"Lenovo IdeaPad S540-14API 14"" AMD Ryzen 7 3700U - 8GB RAM - 1TB SSD Dysk - Win10","14 cali,  1920 x 1080 pikseli","AMD Ryzen™ 7 3700U 2,3 - 4,0 GHz",8,1 TB SSD,AMD Radeon RX Vega 10,Windows 10 Home Edition,3 699 z?,0,lenovo,14.0,1920x1080,0,ryzen 7,0,1024,0,0,radeon rx,windows,0,3699,eurortvagd
"Acer Nitro 5 15,6"" Intel® Core™ i5-9300H - 8GB RAM - 512GB SSD Dysk - GTX1660Ti Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300H 2,4 - 4,1 GHz",8,512 GB SSD,nVidia® GeForce GTX1660Ti + Intel UHD Graphics 630,Windows 10 Home Edition,3 999 z?,0,acer,15.6,1920x1080,0,i5,0,512,0,0,geforce gtx,windows,0,3999,eurortvagd
,"13,3 cala,  2560 x 1600 pikseli","Intel® Core™ i3  1,1 - 3,2 GHz",8,256 GB SSD,Intel® Iris Plus Graphics,,4 999 z?,0,apple,13.3,2560x1600,0,i3,0,256,0,0,integrated,none,0,4999,eurortvagd
"Acer Nitro 5 15,6"" Intel® Core™ i5-8300H - 8GB RAM - 512GB SSD Dysk - GTX1050 Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8300H 2,3 - 4,0 GHz",8,512 GB SSD,nVidia® GeForce GTX1050 + Intel UHD Graphics 630,Windows 10 Home Edition,2 999 z?,0,acer,15.6,1920x1080,0,i5,0,512,0,0,geforce gtx,windows,0,2999,eurortvagd
"Lenovo IdeaPad S145-14AST 14"" AMD A9-9425 - 8GB RAM - 512GB Dysk - Win10","14 cali,  1920 x 1080 pikseli","AMD A-Series 9425 3,1 - 3,7 GHz",8,512 GB SSD,AMD Radeon R5,Windows 10 Home Edition,1 849 z?,0,lenovo,14.0,1920x1080,0,other,0,512,0,0,radeon r,windows,0,1849,eurortvagd
"ASUS VivoBook 15 X512FL-BQ263T 15,6"" Intel® Core™ i5-8265U - 8GB RAM - 256GB Dysk - MX250 Grafika - Win10","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 8gen 8265U 1,8 - 3,9 GHz",8,256 GB SSD,nVidia® GeForce MX250 + Intel UHD Graphics 620,Windows 10 Home Edition,2 899 z?,0,asus,15.6,1920x1080,0,i5,0,256,0,0,geforce mx,windows,0,2899,eurortvagd
"Lenovo Ideapad L340-15IRH Gaming 15,6"" Intel® Core™ i5-9300HF - 8GB RAM - 512GB Dysk - GTX1650 Grafika","15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",8,512 GB SSD,nVidia® GeForce GTX1650,,3 499 z?,0,lenovo,15.6,1920x1080,0,i5,0,512,0,0,geforce gtx,none,0,3499,eurortvagd
