Title,Brand,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price
"HP 15s-fq1133nw 15,6""  Intel® Core™ i5-1035G1 - 8GB RAM - 512GB Dysk - Win10",HP,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 10gen 1035G1 1,0 - 3,6 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 599 z?
"HP Envy x360 13-ar0014nw 13,3'' AMD Ryzen 5 3500U - 8GB RAM - 512GB Dysk - Win10",HP,"13,3 cala, ekran dotykowy 1920 x 1080 pikseli","AMD Ryzen™ 5 3500U 2,1 - 3,7 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 8,Windows 10 Home Edition,3 499 z?
"ASUS ROG Strix G G531GT-AL017 15,6"" 120Hz Intel® Core™ i7-9750H - 8GB RAM - 512GB Dysk - GTX1650 Grafika",ASUS,"15,6 cala,  1920 x 1080 pikseli 120 Hz","Intel® Core™ i7 9gen 9750H 2,6 - 4,5 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + Intel UHD Graphics 630,,4 299 z?
"Huawei MateBook 13 2020 13"" Intel® Core™ i5-10210U - 8GB RAM - 512GB Dysk - Win10",Huawei,"13 cali,  2160 x 1440 pikseli","Intel® Core™ i5 10gen 10210U 1,6 - 4,2 GHz",8 GB RAM,512 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,3 999 z?
"Lenovo Legion Y540-17IRH-PG0 17,3"" Intel® Core™ i5-9300HF - 8GB RAM - 512GB Dysk - GTX1650 Grafika - Win10",Lenovo,"17,3 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650,Windows 10 Home Edition,4 399 z?
"ASUS M509DA-EJ071 15,6'' AMD Ryzen 7 3700U - 8GB RAM - 512GB Dysk",ASUS,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 7 3700U 2,3 - 4,0 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 10,,2 599 z?
"HP 15s-eq0048nw 15,6"" AMD Ryzen 3 3200U - 8GB RAM - 512GB Dysk",HP,"15,6 cala,  1920 x 1080 pikseli","AMD Ryzen™ 3 3200U 2,6 - 3,5 GHz",8 GB RAM,512 GB SSD,AMD Radeon Vega 3,,1 999 z?
"Lenovo Legion Y540-15IRH 15,6"" Intel® Core™ i5-9300HF - 8GB RAM - 512GB Dysk - RTX2060 Grafika",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce RTX 2060,,3 999 z?
"Lenovo Legion Y540-15IRH 15,6"" Intel® Core™ i5-9300HF - 8GB RAM - 512GB Dysk - RTX2060 Grafika - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce RTX 2060,Windows 10 Home Edition,5 399 z?
"Dell Inspiron 3593-2218 15,6"" Intel® Core™ i3-1005G1 - 8GB RAM - 256GB Dysk - Win10",Dell,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i3 10gen 1005G1 1,2 - 3,4 GHz",8 GB RAM,256 GB SSD,Intel® UHD Graphics,Windows 10 Home Edition,2 299 z?
"Lenovo Ideapad L340-15IRH Gaming 15,6"" Intel® Core™ i5-9300HF - 8GB RAM - 256GB Dysk - GTX1650 Grafika - Win10",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",8 GB RAM,256 GB SSD,nVidia® GeForce GTX1650,Windows 10 Home Edition,3 699 z?
"Lenovo Legion Y540-15IRH-PG0 15,6"" Intel® Core™ i5-9300HF - 8GB RAM - 512GB Dysk - GTX1650 Grafika",Lenovo,"15,6 cala,  1920 x 1080 pikseli","Intel® Core™ i5 9gen 9300HF 2,4 - 4,1 GHz",8 GB RAM,512 GB SSD,nVidia® GeForce GTX 1650 + Intel UHD Graphics 630,,3 799 z?
