Title,Screen,Processor,RAM,Disk,Graphic_card,Operating_system,Price,Discounted_price
Laptop LENOVO ThinkPad E14 Ryzen 5 4500U 8GB 256GB SSD W10P,"14"", 1920 x 1080px",AMD Ryzen 5 4500U,8,256 GB SSD,AMD Radeon Graphics,Windows 10 Professional,3 799,3 649
Laptop ACER Aspire 3 i5-1035G1 8GB 1000GB SSD W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,8,1000 GB SSD,Intel UHD Graphics,Windows 10 Home,3 199,2 899
Laptop ACER Swift 3 Ryzen 3 4300U 4GB 256GB SSD W10,"14"", 1920 x 1080px",AMD Ryzen 3 4300U,4,256 GB SSD,AMD Radeon Graphics,Windows 10 Home,,2 699
Laptop DELL G5 15 5500 i7-10750H 8GB 512GB SSD GF-GTX 1650Ti W10,"15.6"", 1920 x 1080px",Intel Core i7-10750H,8,512 GB SSD,NVIDIA GeForce GTX 1650 TI,Windows 10 Home,,5 699
Laptop ASUS Rog Zephyrus G14 GA401II Ryzen 7 4800HS 16GB 512GB SSD GF-GTX 1650Ti W10,"14"", 1920 x 1080px",AMD Ryzen 7 4800HS,16,512 GB SSD,NVIDIA GeForce GTX 1650 TI,Windows 10 Home,,5 899
Laptop DELL Inspiron 3593 i5-1035G1 4GB 256GB SSD GF-MX 230 W10,"15.6"", 1920 x 1080px",Intel Core i5-1035G1,4,256 GB SSD,NVIDIA GeForce MX230,Windows 10 Home,,2 799
Laptop LENOVO IdeaPad Gaming 3 15IMH05 i5-10300H 8GB 512GB SSD GF-GTX 1650 W10,"15.6"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Windows 10 Home,4 499,4 099
Laptop LENOVO ThinkPad E15 Ryzen 5 4500U 8GB 256GB SSD W10P,"15.6"", 1920 x 1080px",AMD Ryzen 5 4500U,8,256 GB SSD,AMD Radeon Vega 6,Windows 10 Professional,4 399,4 199
Laptop ACER Chromebook CB314-1H-C55X N4000 4GB 32GB eMMC Chrome,"14"", 1920 x 1080px",Intel Celeron N4000,4,32 GB Flash,Intel UHD Graphics 600,Chrome OS,,1 399
Laptop ASUS Rog Zephyrus G15 GA502IU Ryzen 7 4800H 16GB 1000GB SSD GF-GTX 1660Ti Max-Q W10,"15.6"", 1920 x 1080px",AMD Ryzen 7 4800H,16,1000 GB SSD,NVIDIA GeForce GTX 1660 Ti Max-Q,Windows 10 Home,,6 399
Laptop ASUS ZenBook 14 i5-10210U 8GB 512GB SSD DOS,"14"", 1920 x 1080px",Intel Core i5-10210U,8,512 GB SSD,Intel UHD Graphics,Brak,,3 599
Laptop HUAWEI MateBook X Pro i7-10510U 16GB 1000GB SSD GF-MX250 W10P,"13.9"", 3000 x 2000px",Intel Core i7-10510U,16,1000 GB SSD,NVIDIA GeForce MX250,Windows 10 Professional,,8 489
Laptop LENOVO ThinkPad E15 i3-10110U 8GB 256GB SSD W10P,"15.6"", 1920 x 1080px",Intel Core i3-10110U,8,256 GB SSD,Intel UHD Graphics,Windows 10 Professional,,3 649
Laptop DELL Inspiron G5 5590 i7-9750H 16GB 1000GB 256GB SSD GF-GTX 1660Ti W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB HDD + 256 GB SSD,NVIDIA GeForce GTX 1660 Ti,Windows 10 Home,,6 799
Laptop LENOVO V340-17IWL i5-8265U 8GB 256GB SSD W10P,"17.3"", 1920 x 1080px",Intel Core i5-8265U,8,256 GB SSD,Intel UHD Graphics 620,Windows 10 Professional,,3 799
Laptop ASUS Rog Zephyrus M15 i7-10750H 16GB 512GB SSD GF-RTX 2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-10750H,16,512 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,,7 999
Laptop LENOVO IdeaPad Gaming 3 15IMH05 i7-10750H 8GB 512GB SSD GF-GTX 1650 DOS,"15.6"", 1920 x 1080px",Intel Core i7-10750H,8,512 GB SSD,NVIDIA GeForce GTX 1650,Brak,4 499,4 099
Laptop ACER Aspire 5 Ryzen 7 4700U 4GB 128GB SSD W10,"15.6"", 1920 x 1080px",AMD Ryzen 7 4700U,4,128 GB SSD,AMD Radeon Graphics,Windows 10 Home,,2 999
Laptop ASUS Rog Zephyrus G14 GA401IU Ryzen 7 4800HS 16GB 512GB SSD GF-GTX 1660Ti Max-Q W10,"14"", 1920 x 1080px",AMD Ryzen 7 4800HS,16,512 GB SSD,NVIDIA GeForce GTX 1660 Ti Max-Q,Windows 10 Home,,6 599
Laptop MSI Modern 14 A10M i7-10510U 8GB 512GB SSD W10,"14"", 1920 x 1080px",Intel Core i7-10510U,8,512 GB SSD,Intel UHD Graphics,Windows 10 Home,,3 999
Laptop MSI Prestige 15 i7-10710U 8GB 512GB SSD GF-GTX 1650 Max-Q W10,"15.6"", 1920 x 1080px",Intel Core i7-10710U,8,512 GB SSD,NVIDIA GeForce GTX 1650 Max-Q,Windows 10 Home,5 999,5 799
Laptop MICROSOFT Surface Pro 7 i3-1005G1 4GB 128GB SSD W10,"12.3"", 2736 x 1824px, Dotykowy",Intel Core i3-1005G1,4,128 GB SSD,Intel Iris Plus Graphics 650,Windows 10 Home,3 799,3 684
Laptop ASUS ZenBook Pro UX550GE i5-8300H 8GB 512GB SSD GF-GTX1050TI W10,"15.6"", 1920 x 1080px",Intel Core i5-8300H,8,512 GB SSD,NVIDIA GeForce GTX 1050 Ti,Windows 10 Home,,5 599
Laptop DELL Inspiron G5 5590 i7-9750H 16GB 1000GB 256GB SSD GF-RTX2060 W10,"15.6"", 1920 x 1080px",Intel Core i7-9750H,16,1000 GB HDD + 256 GB SSD,NVIDIA GeForce RTX 2060,Windows 10 Home,,6 999
Laptop DELL Inspiron 15 (5570-6714) i7-8550U 8GB 2000GB 128GB SSD Radeon 530 W10,"15.6"", 1920 x 1080px",Intel Core i7-8550U,8,2000 GB HDD + 128 GB SSD,AMD Radeon 530,Windows 10 Home,,3 599
Laptop MSI GF75 Thin 10SCSR i5-10300H 8GB 512GB SSD GF-GTX 1650Ti W10,"17.3"", 1920 x 1080px",Intel Core i5-10300H,8,512 GB SSD,NVIDIA GeForce GTX 1650 TI,Windows 10 Home,5 199,4 899
Laptop MSI GE66 Raider i7-10875H 16GB 1000GB SSD GF-RTX 2070 W10,"15.6"", 1920 x 1080px",Intel Core i7-10875H,16,1000 GB SSD,NVIDIA GeForce RTX 2070,Windows 10 Home,9 799,8 999
